,0_62,0_78,62_78,78_100
h1,0.11733333333333337,0.1106666666666667,0.08933333333333335,0.12533333333333338
h0_single,0.10000000000000002,0.12000000000000002,0.08533333333333334,0.11733333333333337
ensb_single,0.10000000000000002,0.10666666666666669,0.1026666666666667,0.13466666666666674
h0_complete,0.10133333333333336,0.14000000000000004,0.09600000000000003,0.11466666666666671
ensb_complete,0.10000000000000002,0.11600000000000003,0.1066666666666667,0.1373333333333334
h0_average,0.10133333333333336,0.18133333333333335,0.072,0.13466666666666674
ensb_average,0.10133333333333336,0.15333333333333332,0.09200000000000003,0.13866666666666674
h0_ward,0.10000000000000002,0.18133333333333335,0.0986666666666667,0.10133333333333333
ensb_ward,0.10133333333333333,0.15066666666666664,0.10266666666666667,0.12266666666666672
full_ensb,0.1026666666666667,0.152,0.10133333333333336,0.14000000000000007
